ID, Beans, Bread, Cerel,ChdBby, Chips,  Corn,  Eggs,  Fish, Fruit,  Meat,  Milk,Pepper,  Rice, Salza, Sauce,  Soda,Tomato,Tortya,Vegges,YogChs
 1,     0,     3,     2,     3,     0,     1,     7,     6,     4,     7,     2,     3,     8,     3,     1,     1,     2,     2,     7,     0
 2,     2,     5,     8,     4,     2,     0,     6,     9,     6,     9,     5,     1,    10,     2,     0,     0,     3,     1,     7,     5
 3,     4,     2,     1,     4,     1,     4,     6,     1,     4,     6,     7,     7,     8,     4,     1,     2,     7,     4,     9,    10
 4,     4,     7,     7,     3,     2,     1,     5,     1,     3,    10,     8,     6,     8,     0,     0,     0,     0,     2,     8,     4
 5,     1,     4,     7,     5,     8,     0,     7,     3,     2,     9,     2,     2,     2,     2,     2,     9,     2,     3,     5,     0
 6,     0,     3,     7,     5,     0,     0,     7,     6,     6,     4,     7,     2,     8,     0,     3,     0,     1,     1,     9,     2
 7,     7,     5,     6,     6,     9,     2,     5,     1,     5,     6,     2,     6,     8,     9,     0,     0,     5,     8,     6,     2
 8,     0,     4,     5,     3,     7,     0,     5,     0,     2,     9,     2,     1,     4,     2,     1,     7,     3,     1,     1,     1
 9,     0,     4,     5,     4,     7,     0,     5,     2,     5,     8,     3,     3,     2,     0,     2,     9,     0,     5,     3,     1
10,     8,     3,     8,     6,    10,     7,     6,     1,     6,     5,     4,     8,     9,     7,     1,     0,     3,     9,     5,     6
11,     1,     8,     7,     4,     3,     2,     5,     2,     2,     8,     9,     3,     6,     0,     1,     1,     4,     0,     9,     9
12,     2,     2,     8,     6,     1,     1,     7,     6,     4,     8,     5,     0,     8,     0,     1,     0,     2,     0,     7,     0
13,     1,     3,     8,     4,     1,     0,     7,     9,     5,     4,     5,     0,     9,     2,     1,     1,     1,     0,     7,     4
14,     7,     2,     5,     3,     0,     0,     1,     0,     5,     0,     2,     1,     7,     4,     9,     1,     1,     0,     7,     6
15,     1,     6,     8,     2,     1,     2,     7,     2,     5,     6,     9,     5,     6,     1,     1,     0,     1,     1,     8,     5
16,     1,     2,     8,     7,     9,     0,     3,     2,     7,     8,     0,     3,     0,     3,     2,     8,     0,     0,     3,     0
17,    10,     4,     7,     5,     8,     6,     4,     3,     3,     4,     7,     8,     6,     5,     2,     0,     4,     8,     9,     4
18,     9,     2,     5,     3,     1,     1,     3,     1,     5,     0,     3,     3,     9,     1,     6,     1,     2,     0,     4,     5
19,     9,     6,     6,     5,     8,     7,     7,     2,     7,     1,     6,     7,     7,     8,     1,     1,     4,     7,     4,     4
20,     2,     6,     8,     2,     4,     1,     5,     0,     6,     8,     9,     3,     5,     2,     0,     1,     1,     1,    10,     4
21,     2,     3,     9,     3,     8,     1,     8,     1,     6,     8,     2,     2,     3,     2,     0,     8,     2,     1,     3,     0
22,     3,     2,     8,     5,    10,     0,     5,     2,     4,     7,     2,     1,     1,     5,     0,     6,     0,     3,     2,     1
23,    10,     0,     7,     5,     9,     7,     4,     1,     3,     5,     8,     8,     6,     7,     0,     0,     6,     9,     4,     6
24,     7,     4,     6,     5,     1,     0,     0,     2,     6,     0,     1,     1,     6,     1,     9,     2,     2,     0,    10,     8
25,     1,     2,     8,     8,     6,     0,     5,     0,     4,     8,     3,     5,     1,     3,     0,     8,     4,     3,     2,     1
26,     5,     3,     8,     7,     9,     0,     2,     1,     7,    10,     3,     2,     1,     3,     1,     7,     2,     0,     4,     3
27,     7,     4,     8,     6,     0,     1,     1,     0,     5,     2,     6,     1,     4,     2,     7,     1,     2,     0,     9,     9
28,     9,     1,     2,     1,     2,     7,     6,     1,     3,     4,     1,     6,     6,     5,     2,     2,     8,     7,    10,     9
29,     8,     4,     3,     5,     1,     0,     0,     1,     4,     3,     3,     1,     8,     3,    10,     0,     1,     1,     9,     8
30,     8,     5,     7,     4,     7,     8,     6,     1,     7,     3,     8,     7,     8,     9,     1,     0,     0,     8,     8,     6
31,     2,     2,     6,     7,     0,     0,     8,     8,     5,     6,     3,     1,     9,     1,     1,     1,     2,     0,     7,     1
32,     3,     7,     8,     4,     1,     1,     5,     1,     8,     9,    10,     5,     8,     0,     1,     0,     2,     1,     6,     6
33,    10,     4,     9,     4,     9,     5,     6,     0,     2,     7,     5,     8,     7,     8,     1,     0,     5,     9,     6,     5
34,     8,     4,     4,     3,     0,     0,     2,     2,     5,     0,     1,     0,     7,     2,     7,     0,     1,     1,     6,     8
35,     1,     6,     8,     4,     3,     2,     5,     3,     6,     8,     6,     5,     8,     0,     1,     1,     3,     1,     8,     8
36,     8,     3,     4,     6,     1,     0,     0,     1,     6,     0,     0,     1,     7,     0,     9,     2,     1,     2,     8,     6
37,     7,     1,     3,     2,     4,     2,     4,     0,     5,     8,     3,     4,     7,     0,     0,     1,     5,     7,     9,     8
38,     1,     3,     4,     5,     1,     0,     6,     8,     4,     6,     7,     1,     6,     3,     2,     0,     2,     0,     9,     5
39,     2,     2,     8,     5,     7,     0,     4,     0,     3,     9,     3,     1,     1,     1,     0,     9,     2,     1,     2,     1
40,     3,     3,     7,     4,    10,     0,     6,     1,     5,     6,     3,     5,     0,     2,     2,     9,     0,     3,     0,     2
41,     2,     3,     7,     3,     0,     1,     8,     8,     7,     5,     8,     3,     7,     1,     1,     1,     3,     1,     6,     3
42,     6,     3,     4,     3,     0,     2,     1,     2,     5,     1,     2,     2,     7,     5,     8,     2,     0,     3,     9,     7
43,     2,     7,     9,     2,     3,     0,     3,     2,     5,     8,    10,     5,     7,     1,     1,     3,     0,     1,     9,     4
44,     3,     6,     7,     3,     1,     2,     3,     2,     5,     8,     7,     5,     4,     0,     1,     2,     0,     2,     8,     5
45,     7,     1,     1,     7,     5,     6,     5,     2,     4,     6,     1,     3,     9,     2,     0,     1,     7,     8,     7,     8
46,     3,     7,     8,     6,     6,     0,     7,     2,     5,     6,     9,     4,     9,     2,     2,     3,     0,     2,    10,     4
47,     0,     3,     7,     6,     9,     1,     5,     0,     6,     8,     2,     4,     2,     2,     0,     7,     3,     0,     1,     1
48,     6,     2,     5,     4,     9,     6,     5,     1,     7,     2,     9,     7,     7,     6,     1,     1,     6,     8,     8,     4
49,     7,     2,     1,     8,     2,     5,     4,     1,     4,     9,     4,     5,     8,     2,     1,     0,     6,     6,    10,     9
50,     9,     2,     6,     2,     0,     3,     1,     0,     3,     0,     0,     3,    10,     1,     8,     1,     0,     0,     8,     6
51,     9,     3,     5,     9,     0,     1,     1,     0,     8,     1,     4,     1,     6,     3,    10,     1,     1,     0,     7,     4
52,     8,     2,     5,     5,     0,     0,     2,     0,     7,     1,     2,     1,     6,     3,     8,     1,     1,     2,     5,     8
53,     2,     3,     6,     6,     0,     0,    10,     5,     5,     6,     4,     0,     8,     2,     1,     3,     3,     1,     7,     3
54,     2,     4,     8,     6,     7,     0,     7,     0,     4,    10,     1,     4,     2,     3,     0,     6,     1,     2,     1,     1
55,     9,     6,     6,     5,    10,     6,     8,     0,     5,     3,     7,     9,    10,     8,     0,     1,     5,     7,     4,     7
56,     9,     4,     6,     4,     8,     7,     3,     0,     2,     3,     5,     6,     7,     9,     1,     0,     6,     7,     7,     6
57,     2,     2,     8,     3,     0,     0,     9,     6,     6,     5,     5,     0,     7,     0,     0,     0,     2,     2,     8,     1
58,     5,     4,     8,     4,     9,     0,     4,     2,     6,     8,     3,     2,     2,     4,     0,     5,     0,     2,     2,     0
59,     3,     4,     7,     4,     8,     0,     7,     3,     7,     8,     1,     2,     4,     1,     2,     9,     2,     2,     0,     2
60,     2,     3,     7,     6,     9,     1,     5,     1,     6,     8,     2,     1,     1,     2,     0,     7,     1,     1,     1,     2
61,     0,     8,    10,     5,     1,     1,     7,     2,     4,     9,     7,     7,     4,     0,     0,     3,     1,     3,     9,     7
62,     3,     0,     1,     3,     3,     2,     6,     2,     6,     9,     3,     2,     8,     3,     1,     2,     5,     8,    10,     8
63,     6,     5,     6,     4,     0,     0,     0,     0,     6,     1,     3,     1,     6,     2,     7,     1,     2,     2,     6,     5
64,     5,     3,     2,     7,     1,     5,     5,     1,     6,     7,     2,     6,     9,     1,     2,     1,     6,     7,     8,     6
65,     1,     4,     7,     2,     3,     1,     6,     2,     6,     5,     8,     7,     5,     1,     0,     1,     0,     3,     7,     6
66,     6,     1,     8,     4,     9,     7,     6,     0,     8,     4,     5,     7,     7,    10,     0,     1,     7,     9,     5,     9
67,     2,     3,     5,     5,     1,     1,     9,     7,     3,     5,     5,     0,     8,     1,     1,     2,     3,     1,     5,     0
68,     3,     6,     6,     4,     9,     0,     3,     1,     6,     6,     4,     2,     0,     3,     2,     9,     2,     3,     2,     0
69,     2,     2,     7,     6,     8,     0,     5,     0,     6,     8,     1,     3,     1,     2,     1,     5,     3,     4,     1,     1
70,     8,     4,     9,     2,     6,     5,     6,     1,     6,     5,     4,     7,     8,     7,     0,     1,     3,     8,     5,     8
71,     8,     4,     6,     5,     9,     8,     7,     0,     8,     2,     8,    10,    10,     8,     1,     0,     7,     7,     8,     6
72,     9,     2,     4,     6,     1,     0,     0,     0,     4,     1,     2,     0,     6,     2,     6,     0,     2,     2,     8,     7
73,     2,     7,     8,     3,     5,     0,     4,     4,     4,     7,     7,     4,     5,     1,     2,     1,     0,     1,     7,     5
74,     1,     2,     7,     3,     8,     0,     7,     0,     5,    10,     2,     1,     2,     1,     2,     9,     0,     1,     2,     1
75,     8,     4,     4,     6,     2,     1,     1,     2,     3,     2,     3,     1,    10,     1,    10,     0,     0,     1,     5,     9
76,     8,     1,     7,     5,     6,     6,     2,     1,     3,     4,     7,     9,     8,     8,     2,     0,     5,     8,     7,     9
77,     1,     5,     7,     5,     0,     1,     8,    10,     4,     4,     3,     1,     8,     1,     2,     0,     3,     1,     8,     4
78,     8,     4,     4,     5,     1,     0,     5,     1,     5,     1,     2,     1,     7,     0,     5,     0,     0,     1,     4,     7
79,     7,     2,     4,     7,     2,     0,     2,     3,     6,     0,     1,     0,     8,     4,     9,     0,     1,     1,     7,     8
80,     2,     7,    10,     4,     3,     1,     5,     0,     7,     9,     8,     4,     5,     0,     2,     3,     1,     2,     8,     5
81,     3,     2,     0,     4,     1,     6,     7,     1,     4,     8,     1,     4,     5,     2,     1,     1,     9,     8,     7,     7
82,     2,     4,     6,     4,     3,     0,     8,     3,     6,     6,     3,     1,     6,     0,     2,     1,     2,     2,     9,     0
83,     7,     0,     1,     5,     3,     4,     8,     4,     4,     7,     3,     6,     9,     4,     0,     1,     8,     6,    10,     9
84,     3,     3,     6,     5,     2,     3,     8,     8,     8,     8,     6,     0,     6,     0,     0,     0,     2,     1,     7,     1
85,     3,     2,     7,     4,     9,     0,     6,     1,     5,     7,     2,     2,     2,     1,     0,     8,     3,     4,     2,     1
86,     3,     0,     7,     4,     8,     0,     3,     0,     7,     9,     3,     3,     1,     0,     1,     9,     2,     1,     3,     3
87,     3,     0,     0,     4,     1,     3,     4,     2,     5,     7,     4,     5,     6,     2,     1,     0,     6,     7,     9,     9
88,     7,     1,     3,     5,     6,     4,     8,     1,     4,     7,     3,     5,     7,     2,     1,     1,     7,     9,     7,     5
89,     2,     3,     7,     4,     8,     1,     5,     1,     4,     7,     0,     1,     1,     3,     3,     7,     4,     4,     3,     3
90,     2,     3,     2,     4,     3,     1,     6,     9,     7,     7,     5,     1,     7,     1,     3,     1,     1,     1,     7,     3
91,     2,     7,     8,     5,     1,     2,     7,     3,     4,     5,     7,     3,     6,     4,     0,     0,     1,     0,     8,     6
92,     1,     0,     5,     5,     8,     0,     5,     1,     6,     7,     1,     2,     2,     3,     2,     5,     1,     4,     4,     2
93,     1,     5,     5,     5,     7,     0,     7,     1,     5,     6,     0,     2,     2,     1,     1,     9,     3,     1,     0,     1
94,     7,     3,     1,     4,     1,     6,     8,     2,    10,     6,     5,     5,     9,     4,     0,     1,     5,     6,     8,    10
95,     9,     4,     6,     5,     8,     4,     7,     1,     3,     4,     8,     8,     7,     6,     3,     0,     5,     9,     5,     6
96,     5,     1,     0,     5,     2,     7,     7,     0,     3,     8,     3,     2,     8,     4,     0,     2,     6,     5,    10,     7
97,     6,     3,     6,     5,     7,     9,     6,     1,     6,     5,     7,     9,     7,     8,     0,     0,     6,     8,    10,     7
98,     4,     5,     8,     5,    10,     0,     5,     3,     4,     9,     2,     1,     1,     5,     1,     8,     0,     2,     2,     0
99,     3,     3,     0,     2,     1,     4,     7,     1,     3,     6,     3,     6,     7,     2,     0,     2,     6,     7,    10,     7
100,     3,     3,     7,     4,     6,     1,     4,     1,     4,     7,     0,     0,     2,     3,     2,     9,     2,     3,     1,     1
101,    10,     4,     9,     5,     8,     4,     8,     1,     5,     6,     8,     9,     9,     9,     0,     1,     5,     8,     7,     5
102,     1,     4,     4,     5,     3,     0,     9,     9,     6,     7,     5,     1,     8,     2,     0,     0,     4,     1,     6,     1
103,     4,     7,     7,     6,     4,     1,     6,     1,     4,     8,     9,     4,     5,     1,     5,     1,     0,     1,     7,     4
104,     1,     3,     4,     8,     0,     1,     7,    10,     6,     5,     6,     0,     7,     1,     0,     0,     1,     0,     8,     2
105,     4,     4,     7,     6,     9,     2,     6,     2,     4,     9,     2,     2,     1,     2,     0,     9,     1,     3,     3,     0
106,     8,     6,     4,     3,     0,     0,     0,     3,     5,     0,     3,     1,     8,     4,     9,     1,     0,     1,     8,     8
107,     5,     1,     0,     2,     2,     7,     4,     1,     5,     8,     3,     7,     9,     1,     1,     2,     7,     8,    10,     9
108,     8,     3,     7,     5,     1,     0,     2,     1,     7,     0,     1,     0,     9,     2,     6,     2,     1,     0,     6,     6
109,     2,     3,     8,     6,     7,     0,     6,     0,     7,     8,     2,     3,     4,     1,     0,     8,     3,     1,     2,     2
110,     1,     4,     6,     5,     2,     0,     7,     9,     5,     6,     7,     1,     9,     3,     1,     0,     4,     2,     6,     5
111,     3,     3,     2,     5,     2,     2,     7,     2,     5,     8,     0,     4,     8,     1,     2,     1,     7,     8,     8,     8
112,     3,     2,     9,     5,     0,     0,     4,     1,     5,     8,    10,     3,     6,     2,     1,     0,     1,     0,     8,     6
113,     3,     1,     1,     5,     2,     8,     5,     2,     6,     8,     3,     6,    10,     4,     1,     1,     8,     8,     7,     8
114,     3,     5,     7,     5,     3,     1,     6,     7,     5,     7,     5,     1,     8,     1,     0,     1,     1,     1,     8,     2
115,     6,     5,     7,     5,     9,     4,     8,     0,     6,     2,     7,     7,     8,     8,     0,     0,     2,     8,     5,     8
116,     2,     7,     9,     4,     3,     0,     3,     0,     8,     6,     7,     6,     7,     0,     1,     2,     0,     0,     6,     7
117,     0,     6,     4,     6,     2,     0,     7,     7,     5,     6,     6,     1,     6,     0,     1,     0,     2,     2,    10,     3
118,     1,     3,     9,     1,     9,     1,     4,     2,     5,     5,     1,     3,     1,     1,     1,     8,     1,     3,     1,     1
119,     4,     3,     9,     6,     6,     1,     9,     2,     6,     7,     1,     2,     3,     3,     1,    10,     3,     1,     0,     1
120,     4,     3,     5,     5,     2,     0,     9,     9,     6,     4,     5,     0,     8,     0,     0,     1,     3,     1,     8,     1
121,     7,     6,     5,     5,     6,     8,     3,     1,     5,     1,     9,     8,     9,     7,     1,     1,     3,     9,     8,     8
122,     2,     5,     6,     6,     2,     0,     7,     9,     6,     6,     4,     1,     7,     2,     1,     0,     3,     0,     7,     1
123,     6,     4,     6,     4,     1,     0,     3,     1,     5,     0,     3,     3,     8,     3,     9,     0,     1,     1,     8,     4
124,     2,     2,     6,     8,     2,     0,     8,     7,     6,     6,     6,     0,     7,     1,     0,     1,     2,     1,     6,     1
125,     3,     1,     3,     5,     1,     1,     5,     8,     5,     6,     4,     0,     6,     3,     1,     1,     1,     2,     8,     3
126,     6,     4,     0,     6,     2,     4,     4,     1,     4,     7,     5,     5,     8,     3,     1,     0,     7,     9,     8,     9
127,     8,     1,     8,     3,     8,     4,     6,     1,     3,     2,     7,     5,    10,     8,     0,     0,     3,     9,     4,     8
128,     2,     5,     6,     6,     3,     0,     7,     9,     6,     5,     3,     1,     9,     2,     1,     1,     2,     0,     7,     1
129,     9,     6,     6,     6,     6,     5,     6,     3,     6,     3,     6,     8,     6,    10,     2,     1,     6,     8,     8,     8
130,     8,     3,     7,     8,     1,     0,     2,     0,     3,     1,     0,     0,     8,     1,     6,     0,     0,     2,     8,     4
131,     1,     3,     7,     5,     8,     0,     7,     1,     5,     8,     2,     3,     2,     1,     1,     9,     1,     3,     1,     1
132,     8,     6,     6,     5,     1,     1,     2,     1,     6,     3,     2,     1,     9,     3,     6,     0,     1,     0,     4,     8
133,     1,     6,    10,     5,     1,     1,     5,     3,     7,     7,     9,     5,     3,     1,     2,     1,     0,     1,    10,     4
134,    10,     6,     5,     6,     7,     6,     3,     0,     6,     4,     4,    10,     8,     9,     0,     0,     6,     7,     7,     5
135,     4,     4,     9,     3,     7,     5,     3,     3,     5,     6,     5,    10,     8,     9,     3,     0,     5,     8,     6,     5
136,     5,     2,     1,     3,     3,     2,     7,     1,     7,     7,     1,     5,     8,     1,     1,     1,     7,     8,    10,     5
137,     8,     0,     0,     4,     2,     6,     4,     1,     6,     9,     2,     4,    10,     3,     0,     2,     6,     7,     7,     8
138,     6,     2,     2,     6,     1,     7,     5,     0,     5,     9,     3,     4,     9,     4,     0,     1,     8,     8,     7,     9
139,     2,     2,     8,     4,     8,     0,     3,     3,     4,     9,     3,     4,     0,     1,     2,     7,     2,     2,     2,     2
140,     2,     7,     7,     4,     4,     2,     6,     1,     5,     6,     9,     4,     5,     0,     1,     2,     1,     1,     9,     4
141,     4,     5,     8,     6,     2,     1,     7,     1,     7,     8,     7,     2,     9,     0,     1,     1,     0,     0,     9,     4
142,     6,     1,     0,     5,     3,     6,     3,     2,     8,     7,     2,     3,     7,     1,     0,     1,     8,     7,     8,     9
143,     3,     3,     7,     6,     0,     0,     8,     6,     7,     7,     6,     4,     7,     1,     1,     0,     2,     1,     8,     2
144,     9,     3,     6,     4,     0,     0,     0,     2,     4,     2,     2,     1,     7,     0,     8,     2,     2,     2,     8,     7
145,     6,     3,     7,     6,     2,     0,     8,     7,     4,     6,     5,     0,     6,     1,     1,     1,     3,     1,     7,     2
146,     1,     6,     5,     5,     0,     0,     8,     6,     8,     6,     3,     0,     9,     2,     1,     1,     0,     0,     5,     4
147,     0,     4,     8,     9,     3,     1,     6,     3,     5,     6,     8,     6,     4,     0,     1,     4,     0,     0,     7,     4
148,     9,     5,     6,     5,     0,     1,     0,     4,     5,     1,     4,     2,     8,     1,     8,     1,     2,     1,     7,     7
149,     9,     5,     5,     7,     7,     5,     6,     1,     5,     5,     8,     8,     5,     7,     0,     0,     4,     5,     7,     7
150,     1,     5,     8,     4,     0,     0,     8,     8,     5,     7,     3,     1,     8,     1,     2,     1,     2,     0,     7,     2
151,     0,     2,     5,     5,     2,     1,     9,     7,     8,     6,     5,     3,     6,     3,     1,     0,     1,     0,     9,     3
152,     0,     3,     6,     6,     1,     1,    10,     7,     7,     5,     7,     3,     9,     0,     0,     2,     1,     2,    10,     1
153,     2,     3,    10,     5,     7,     0,     4,     3,     6,     9,     1,     0,     3,     3,     1,     8,     3,     3,     2,     1
154,     3,     7,     7,     5,     4,     1,     5,     3,     4,     9,    10,     3,     6,     0,     1,     3,     1,     2,     7,     8
155,     3,     5,     8,     3,     7,     0,     6,     2,     4,     8,     2,     3,     3,     4,     0,     9,     2,     2,     1,     0
156,     2,     3,     6,     4,     8,     1,     5,     1,     4,     8,     2,     3,     2,     5,     1,    10,     3,     3,     4,     0
157,     6,     2,     2,     6,     5,     4,     6,     2,     2,     9,     2,     3,    10,     2,     0,     0,     8,     7,     9,    10
158,     8,     5,     3,     4,     0,     0,     1,     3,     1,     0,     3,     1,     9,     4,    10,     1,     1,     0,     8,     8
159,     9,     4,     7,     5,     8,     6,     6,     2,     4,     4,     7,    10,     8,     8,     2,     0,     4,     7,     5,     6
160,     4,     1,     0,     5,     3,     6,     3,     2,     7,     7,     2,     7,     9,     2,     1,     1,     5,     6,    10,    10
161,     6,     1,     2,     5,     2,    10,     8,     3,     4,    10,     2,     6,    10,     2,     2,     0,     8,     8,    10,    10
